type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
xpln1,35.575,230.225,1531.1875,19.343749999999996,5.0,2,16
sway2,7.0249999999999995,44.8,382.8125,11.812499999999998,2.0,2,16
xpln2,32.271875,199.4375,1569.6875,19.581249999999997,2.0,2,16
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,16
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,17
sway1,8.21764705882353,33.811764705882354,350.4117647058824,10.588235294117645,5.0,2,17
xpln1,34.89411764705883,220.91764705882352,1488.6470588235295,19.105882352941173,5.0,2,17
sway2,6.788235294117647,44.4,373.88235294117646,11.823529411764705,2.0,2,17
xpln2,33.491176470588236,215.94117647058823,1652.8823529411766,20.2,2.0,2,17
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,17
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,18
sway1,8.394444444444446,37.42222222222222,370.05555555555554,10.861111111111109,5.0,2,18
xpln1,37.34444444444445,274.2555555555556,1673.4444444444443,19.944444444444443,5.0,2,18
sway2,6.5777777777777775,44.044444444444444,365.94444444444446,11.833333333333332,2.0,2,18
xpln2,32.03333333333333,206.05555555555554,1586.388888888889,19.93333333333333,2.0,2,18
top,0.9000000000000001,8.400000000000002,28.0,4.900000000000001,93.0,2,18
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,19
sway1,8.626315789473686,38.715789473684204,384.05263157894734,11.005263157894735,5.0,2,19
xpln1,36.23684210526316,264.13684210526316,1628.0,19.673684210526314,5.0,2,19
sway2,6.389473684210526,43.72631578947368,358.8421052631579,11.842105263157894,2.0,2,19
xpln2,33.76842105263158,229.31578947368422,1642.7894736842106,20.442105263157895,2.0,2,19
top,0.9,8.400000000000002,28.0,4.900000000000001,93.0,2,19
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,20
sway1,8.520000000000001,38.879999999999995,379.35,11.054999999999998,5.0,2,20
xpln1,35.475,256.63,1599.5,19.699999999999996,5.0,2,20
sway2,6.22,43.44,352.45,11.849999999999998,2.0,2,20
xpln2,33.045,227.45,1620.2,20.354999999999997,2.0,2,20
top,0.9,8.400000000000002,28.0,4.900000000000001,93.0,2,20
